
 Branch Buffer Table: 

Current PC 	 Target PC
0x8000566c	0x8000587c
0x80005674	0x80005850
0x800056a0	0x80005728
0x80005710	0x8000575c
0x80005724	0x800056e8
0x80005784	0x800057b8
0x8000578c	0x800057e0
0x800058d8	0x80005910
0x800058ec	0x80005910
0x80005920	0x800058f8
0x80005974	0x8000597c
0x80005a40	0x80005ae8
0x80005a44	0x80005aa0
0x80005a4c	0x80005bf4
0x80005a54	0x80005ac8
0x80005a58	0x80005aac
0x80005aa0	0x80005ac8
0x80005aac	0x80005a5c
0x80005ab4	0x80005a5c
0x80005ac8	0x80005a60
0x80005ae8	0x80005ca4
0x80005b48	0x80005bc4
0x80005b60	0x80005b8c
0x80005b98	0x80005bc4
0x80005bf4	0x80005c10
0x80005bf8	0x80005c10
0x80005c00	0x80005c10
0x80005c20	0x80005c34
0x80005c5c	0x80005c74
0x80005c70	0x80005c80
0x80005d10	0x80005d28
0x80005d18	0x80005d5c
0x80005d2c	0x80005d14
0x80005d5c	0x80005d1c
0x80005d64	0x80005dc4
0x80005d70	0x80005ddc
0x80005d78	0x80005d1c
0x80005f64	0x80006108
0x80005f88	0x8000610c
0x80005f94	0x8000610c
0x80005fac	0x800060ac
0x80005ff0	0x800060e4
0x80006030	0x80006000
0x80006038	0x800060fc
0x80006078	0x80006048
0x80006080	0x8000609c
0x80006084	0x8000609c
0x80006094	0x800060d0
0x800060a4	0x800060ac
0x800060ac	0x80006138
0x800060dc	0x80005ff0
0x800063b4	0x8000640c
0x800063c4	0x8000640c
0x800063e4	0x8000640c
0x800063fc	0x800063d4
0x8000641c	0x80006468
0x80006430	0x80006444
0x8000648c	0x80006444
0x800064d0	0x800064a0
0x8000651c	0x80006574
0x8000652c	0x80006574
0x8000654c	0x80006574
0x80006564	0x8000653c
0x80006584	0x800065d0
0x80006598	0x80006648
0x800065f4	0x800065ac
0x80006638	0x80006608
0x80006658	0x800065ac
0x800066a0	0x800067e4
0x800066d4	0x80006704
0x800066e8	0x80006774
0x80006830	0x80006870
0x80006844	0x80006870
0x8000684c	0x80006a08
0x80006880	0x800068ac
0x80006888	0x800069dc
0x800068bc	0x80006914
0x800068d0	0x80006968
0x8000697c	0x80006894
0x80006990	0x800069d4
0x800069d0	0x800069a4
0x80006a5c	0x80006a8c
0x80006a88	0x80006a90
0x80006ba4	0x80006c0c
0x80006bf4	0x80006bc4
0x80006d00	0x80006d60
0x80006d24	0x80006d60
0x80006d3c	0x80006d10
0x80006dd0	0x80006de0
0x80006e78	0x80006e9c
0x80006e8c	0x80006ec4
0x80006f38	0x80006f48
0x8000c33c	0x8000c6b0
0x8000c370	0x8000c600
0x8000c380	0x8000c3a0
0x8000c3b0	0x8000c640
